Mass,Bfld,ID
28974141000.0,1.3827759,175242
50642674000.0,0.7432218,175244
28660177000.0,1.305626,175245
10710266000.0,0.8660125,175247
11542750000.0,3.2838783,175248
7249580500.0,1.332527,175249
17551116000.0,8.548219,175251
9205980000.0,0.49362785,175253
4922200600.0,0.9594725,175255
4052592400.0,1.9903839,175257
2466630700.0,0.89107865,175258
1111078500.0,0.38802806,175260
1216070900.0,1.1464425,175261
1257381100.0,2.6779368,175263
1112561700.0,8.126552,175295
67146252000.0,2.538828,177722
15818155000.0,0.2543213,177723
9408005000.0,0.3615246,177724
9143557000.0,0.2725623,177726
12500127000.0,1.590378,177729
12352397000.0,0.56752163,177730
3394218000.0,0.5217962,177732
2264786200.0,1.456916,177733
3493806600.0,0.5017593,177735
6425511000.0,1.2914464,177739
2241428500.0,1.5199122,177740
187350420000.0,1.7146169,179887
60212937000.0,0.24583815,179890
17024475000.0,1.2929047,179893
19718988000.0,2.9619658,179896
17554743000.0,1.1517261,179897
16970853000.0,1.7676059,179898
15052048000.0,6.003666,179902
5407235600.0,1.7883052,179903
7755902000.0,0.89481914,179905
2155013600.0,2.50107,179906
2579417900.0,8.264156,179944
201611700000.0,0.46847692,181984
167436660000.0,0.0928587,181985
44324225000.0,0.52112126,181987
31819094000.0,0.88558865,181989
44877470000.0,1.9769052,181990
16637276000.0,2.5507312,181994
9629580000.0,2.1964054,181995
19150328000.0,1.0028778,181996
15630823000.0,4.147644,181997
16743967000.0,1.7419927,181998
1632131700.0,0.6255852,182000
3919933700.0,0.41799915,182001
2306539500.0,1.0750715,182004
5671274500.0,2.1853707,182005
187141240000.0,13.896276,184830
31955552000.0,1.5067499,184832
22514268000.0,2.1062229,184833
42599780000.0,4.1712527,184834
27001991000.0,2.292888,184836
8106213400.0,3.0583274,184838
15092122000.0,1.6601259,184839
7029414000.0,1.99346,184840
12588881000.0,0.5149256,184841
3525444600.0,0.72050864,184843
7633024500.0,0.42692593,184844
1730680700.0,2.4887583,184847
13417812000.0,5.7300434,186939
1634647600.0,0.9551771,186943
7567101400.0,7.4089785,186946
1098089300.0,0.557266,186955
14413520000.0,0.97020304,188870
7111342000.0,1.09907,188874
7200508400.0,3.7452502,188878
2339852300.0,0.30359697,188879
15146341000.0,2.835759,191090
1846519700.0,1.1309645,191100
14151739000.0,1.6452488,192909
10336930000.0,1.190304,192910
12925361000.0,1.1659398,192911
15441129000.0,3.336052,192912
4980181000.0,1.5634811,192913
3464861000.0,0.7762009,192915
2457106200.0,1.4026897,192916
1089922700.0,2.0600774,192923
19248003000.0,0.24030101,194951
8906028000.0,3.0877943,194955
9026320000.0,1.322632,194956
7257589000.0,1.76561,194958
