ID,Mass,Bfld,Type
214458,12974857000.0,1.1448082,Pre-Infall
214459,28397881000.0,3.342842,Pre-Infall
214461,7515442000.0,2.2269807,Pre-Infall
214462,10159952000.0,8.837064,Pre-Infall
214463,3278368000.0,0.93203,Pre-Infall
214464,3581919200.0,1.16675,Pre-Infall
214465,3744150000.0,2.0890152,Pre-Infall
214467,1030331200.0,0.5526759,Pre-Infall
216017,108594120000.0,0.44954187,Pre-Infall
216023,3192074500.0,0.8386726,Pre-Infall
216024,7789351400.0,2.3882613,Pre-Infall
216025,3360670700.0,1.7951685,Pre-Infall
216028,2380928300.0,0.7639914,Pre-Infall
216033,5491762000.0,2.1471024,Pre-Infall
217487,56334107000.0,2.0336232,Pre-Infall
217494,2956472300.0,4.166132,Pre-Infall
217496,1671767200.0,1.4444464,Pre-Infall
219033,89649370000.0,3.7892208,Pre-Infall
219034,30547030000.0,0.20523906,Pre-Infall
219035,20124578000.0,1.1032906,Pre-Infall
219037,13291479000.0,2.8273408,Pre-Infall
219038,7273274400.0,1.8577133,Pre-Infall
219039,2612280000.0,1.306098,Pre-Infall
219040,4770494500.0,1.0553206,Pre-Infall
220557,250387550000.0,0.19804148,Pre-Infall
220560,97632510000.0,1.567329,Pre-Infall
220561,38148300000.0,1.5300659,Pre-Infall
220562,27195197000.0,0.3612607,Pre-Infall
220563,7235060000.0,0.35841697,Pre-Infall
220564,49452708000.0,3.1890733,Pre-Infall
220566,18951290000.0,2.142501,Pre-Infall
220567,33275398000.0,2.6803749,Pre-Infall
220569,8857358000.0,1.0603565,Pre-Infall
220571,8256022000.0,2.8605337,Pre-Infall
220581,2433325800.0,0.46562257,Pre-Infall
220582,1622256800.0,0.49911398,Pre-Infall
220584,1913714700.0,0.74521816,Pre-Infall
220586,2713968000.0,1.2069595,Pre-Infall
220587,7751432000.0,21.525625,Pre-Infall
220591,3062549500.0,0.55149406,Pre-Infall
220592,5861177300.0,78.82908,Pre-Infall
222268,91081870000.0,2.7154887,Pre-Infall
222269,42433160000.0,0.43743208,Pre-Infall
222271,21980551000.0,1.7681379,Pre-Infall
222272,23865715000.0,1.3418908,Pre-Infall
222273,7957111300.0,0.6146192,Pre-Infall
222274,12883656000.0,0.4808728,Pre-Infall
222275,15173154000.0,2.7325459,Pre-Infall
222278,8431002000.0,0.7027,Pre-Infall
222281,8862105000.0,0.5298102,Pre-Infall
222294,1716281600.0,0.42204896,Pre-Infall
222295,3906807300.0,1.203095,Pre-Infall
222298,2004441600.0,1.5784079,Pre-Infall
222300,2013868200.0,2.8036005,Pre-Infall
222301,1084676000.0,0.8988581,Pre-Infall
223897,117742576000.0,5.8197556,Pre-Infall
223901,66911360000.0,13.488982,Pre-Infall
223903,32734611000.0,7.2775664,Pre-Infall
223905,3565919500.0,0.45001584,Pre-Infall
223907,13531189000.0,3.0050101,Pre-Infall
223908,15789397000.0,10.820744,Pre-Infall
223909,1504384500.0,0.456672,Pre-Infall
223910,2997125600.0,0.54182875,Pre-Infall
223913,3140711400.0,0.7844626,Pre-Infall
223914,1638458800.0,0.77674603,Pre-Infall
225156,155899610000.0,1.1182137,Pre-Infall
225158,81888070000.0,2.057434,Pre-Infall
225159,51838304000.0,1.2501062,Pre-Infall
225160,18766471000.0,5.028276,Pre-Infall
225162,1259735300.0,0.28071296,Pre-Infall
226195,52859843000.0,0.45258725,Pre-Infall
226196,57002210000.0,0.34729365,Pre-Infall
226198,68808660000.0,7.755527,Pre-Infall
226199,4967988700.0,0.67927265,Pre-Infall
226202,2342317600.0,0.749436,Pre-Infall
226203,3773807400.0,0.84402657,Pre-Infall
226204,6749715500.0,5.5349674,Pre-Infall
227579,8713593000.0,0.4877893,Pre-Infall
227580,4193871400.0,2.323827,Pre-Infall
227581,7824835600.0,2.331996,Pre-Infall
227584,3453474300.0,3.517422,Pre-Infall
227585,3479015400.0,0.44267944,Pre-Infall
228682,102892225000.0,0.3728576,Pre-Infall
228690,9438236000.0,1.4900081,Pre-Infall
228691,4882446300.0,0.9973761,Pre-Infall
228692,2307782000.0,1.849,Pre-Infall
228697,4278360800.0,0.5630126,Pre-Infall
230236,47728160000.0,0.72189766,Pre-Infall
230237,50058064000.0,0.19810359,Pre-Infall
230238,25703662000.0,1.4465113,Pre-Infall
230240,22519249000.0,2.5114279,Pre-Infall
230243,1917885000.0,0.60262156,Pre-Infall
230245,2821514500.0,1.0898075,Pre-Infall
230246,11314007000.0,2.0032747,Pre-Infall
230251,1204064300.0,0.4690855,Pre-Infall
231711,31638700000.0,1.4152826,Pre-Infall
231712,12935634000.0,0.20630501,Pre-Infall
231713,10549237000.0,1.0796106,Pre-Infall
231714,2613419800.0,1.2249479,Pre-Infall
231715,3426223600.0,1.1045725,Pre-Infall
231717,7214258700.0,1.4588517,Pre-Infall
231719,1564141800.0,2.3142033,Pre-Infall
231721,1678728600.0,0.47258228,Pre-Infall
231722,3357347000.0,0.81898236,Pre-Infall
233222,16918669000.0,4.140568,Pre-Infall
233225,5519244000.0,1.566475,Pre-Infall
233230,4405064000.0,2.9247808,Pre-Infall
233242,1456072100.0,1.548534,Pre-Infall
234515,58833380000.0,0.3703546,Pre-Infall
234516,32353960000.0,0.3358048,Pre-Infall
234517,28808008000.0,0.9465731,Pre-Infall
234523,3149212700.0,1.5966691,Pre-Infall
234524,4217848000.0,1.2429236,Pre-Infall
234526,3735151600.0,0.32099697,Pre-Infall
234527,5759662000.0,2.4409833,Pre-Infall
234529,4125925600.0,0.9875821,Pre-Infall
234530,3357016000.0,1.1002425,Pre-Infall
234535,1208430200.0,0.6951195,Pre-Infall
235693,49328333000.0,0.7925771,Pre-Infall
235694,20428204000.0,1.0995516,Pre-Infall
235695,7644346000.0,0.93615085,Pre-Infall
235696,23582034000.0,1.2388905,Pre-Infall
235697,14634010000.0,0.42537674,Pre-Infall
235699,8063587300.0,1.2372391,Pre-Infall
235700,8873022000.0,1.3929816,Pre-Infall
235701,10387220000.0,1.1062616,Pre-Infall
235703,6304941600.0,2.3658965,Pre-Infall
235704,5542504400.0,4.4622703,Pre-Infall
236759,35966456000.0,0.23559967,Pre-Infall
236762,13048616000.0,1.6297224,Pre-Infall
236763,7786807000.0,0.192576,Pre-Infall
236764,16580065000.0,0.92169553,Pre-Infall
236766,10298508000.0,1.1768355,Pre-Infall
236769,5224267000.0,0.5169799,Pre-Infall
236770,14261719000.0,3.2442212,Pre-Infall
236773,1218985200.0,1.028336,Pre-Infall
237947,17635762000.0,1.6514335,Pre-Infall
237951,2743387000.0,0.59661096,Pre-Infall
237953,10101665000.0,15.267857,Pre-Infall
237991,1310875400.0,6.5827475,Pre-Infall
237999,1108864100.0,12.405942,Pre-Infall
239246,153898010000.0,1.5812064,Pre-Infall
239247,9653562000.0,0.86866766,Pre-Infall
239251,6246770000.0,0.4054517,Pre-Infall
239997,16826494000.0,1.7146872,Pre-Infall
239998,10008596000.0,1.4830179,Pre-Infall
240000,12417280000.0,0.81168,Pre-Infall
