Mass,Bfld,ID
205269530000.0,0.11781631,363104
201574070000.0,0.12673503,363315
205166640000.0,0.13392991,363524
219288350000.0,0.0870904,363981
152566960000.0,0.1456437,364263
187561300000.0,0.120271,364807
134588210000.0,0.1390536,365493
85643180000.0,0.09884534,365743
70969410000.0,0.12886782,366338
113356710000.0,0.10186616,366565
105408520000.0,0.10999457,366792
138761060000.0,0.15846688,367456
52576840000.0,0.13453227,367929
116653140000.0,0.15874858,368170
211758100000.0,0.12774639,368436
163355480000.0,0.10203386,368697
125181330000.0,0.1360649,368884
139349130000.0,0.10168529,369152
77701230000.0,0.41797367,369366
167519830000.0,0.14307374,369545
183172640000.0,0.10223586,369789
113770226000.0,0.09222234,370003
100803770000.0,0.12676834,370190
157677760000.0,0.12507801,371259
136879510000.0,0.1397833,371471
158050570000.0,0.1189084,372175
123611620000.0,0.06302214,372343
195552070000.0,0.119341634,372568
177919790000.0,0.13116772,373050
55322330000.0,1.1801221,373292
168473410000.0,0.14307779,373510
97120540000.0,0.08246979,373699
87975895000.0,0.076264314,373951
177171510000.0,0.12468429,374228
74331820000.0,0.0903869,374379
158888900000.0,0.093286075,374593
90189960000.0,0.15315771,374789
207161970000.0,0.099717304,375020
85220180000.0,0.13014482,375401
97602445000.0,0.10392812,375639
124532180000.0,0.08736383,375909
147383420000.0,0.09762297,376356
88385370000.0,0.15739053,376544
108611760000.0,0.14532952,376738
153878020000.0,0.13905816,376963
170032460000.0,0.0923219,377212
120899576000.0,0.13672242,377539
98402240000.0,0.10101314,377804
53969710000.0,0.1466703,378115
83457245000.0,0.13038479,378526
41107333000.0,0.17724171,378745
104249010000.0,0.124413975,379147
122369204000.0,0.1391818,379320
134188200000.0,0.10064741,379732
167908460000.0,0.097369924,380119
143858940000.0,0.112758525,380276
94486120000.0,0.4385593,380752
127411530000.0,0.07286751,380934
55761097000.0,0.09068357,381147
154615050000.0,0.095231354,381392
78227730000.0,0.5923323,381832
148117880000.0,0.112051345,382059
69932890000.0,0.10140047,382256
77754240000.0,0.1262054,382483
113620820000.0,0.084242195,382684
83936750000.0,0.17740487,382921
35596878000.0,0.25730506,383120
135078560000.0,0.10591312,383307
39194240000.0,0.2074447,383506
113209020000.0,0.08659537,383723
105266086000.0,0.10291297,384103
43408130000.0,0.10591277,384534
160427110000.0,0.080195315,384705
53068554000.0,0.10487039,385115
110657610000.0,0.088335924,385582
59220247000.0,0.08727601,385798
83644660000.0,0.091762245,386247
102098240000.0,0.15233688,386429
119917270000.0,0.16549014,386612
109324070000.0,0.09549523,386827
69612530000.0,0.100890234,387067
157408330000.0,0.09652169,387236
85278925000.0,0.11777097,387936
121804320000.0,0.21240184,388115
112574410000.0,0.12430527,388428
238841280000.0,0.13094817,389056
135990150000.0,0.12585257,389156
72952040000.0,0.51693904,389346
56959754000.0,0.11712491,389511
106111074000.0,0.12603682,389704
50297246000.0,0.098846845,389917
107506410000.0,0.15429722,390127
151462500000.0,0.15234978,390305
108825620000.0,0.15347743,390724
100137700000.0,0.08706681,390859
117697980000.0,0.06635847,391447
104757700000.0,0.045593515,391869
138554380000.0,0.0847757,392097
207655060000.0,0.085491106,392253
99311990000.0,0.11581772,392368
63264657000.0,0.17570622,392585
171879400000.0,0.11699605,392725
117769620000.0,0.12558226,392852
202949510000.0,0.14274046,392961
59921430000.0,0.12136759,393336
72652530000.0,0.0942435,393546
58158465000.0,0.060571067,394241
137541440000.0,0.120269775,394439
146629500000.0,0.09905961,394719
143101080000.0,0.113668635,394850
121118990000.0,0.12948656,394986
45066027000.0,3.1434655,395154
50082775000.0,0.07367746,395338
82000670000.0,0.1458975,395533
84278880000.0,0.13454418,395735
62673416000.0,0.08558655,395882
152702880000.0,0.09751402,396073
109021570000.0,0.1260368,396266
54509203000.0,0.060639977,396640
45756180000.0,0.080877155,396851
86328890000.0,0.08491382,397063
104315110000.0,0.14146721,397568
147276350000.0,0.12174792,398549
141260420000.0,0.07101702,399101
82205900000.0,0.19191417,399267
109354920000.0,0.104925,399391
106884160000.0,0.0847805,399520
93635990000.0,0.09259231,399679
140081480000.0,0.08230717,399969
92859590000.0,0.080789015,400089
63817760000.0,0.1382993,400547
47080042000.0,0.42348975,400695
76336366000.0,0.091008596,400846
